날짜,시간,지역,연료원,전력거래량(MWh),기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위),PM10 평균,PM2.5 평균
2020-01-01,7,광주시,태양광,0,-3.8,,0.5,59,,,,10,14.2,8.1
2020-01-01,8,광주시,태양광,0.024782,-3.7,,0.3,59,0,0.07,,8,14.4,9.2
2020-01-01,9,광주시,태양광,2.793274,-2.5,,0.6,54,0.7,0.45,,8,16.7,10.9
2020-01-01,10,광주시,태양광,8.886056,-1,,0.8,53,0.4,0.75,,6,18,9.6
2020-01-01,11,광주시,태양광,12.679021,0.2,,0.9,50,0.4,1.08,,9,20.8,14.3
2020-01-01,12,광주시,태양광,12.862381,1.6,,0.9,49,0,0.98,,8,23.1,14.3
2020-01-01,13,광주시,태양광,13.458181,3.1,,0.9,51,0,1.11,,9,24.6,16.2
2020-01-01,14,광주시,태양광,13.35317,3.9,,1.3,51,0,1.04,,9,23.3,15.2
2020-01-01,15,광주시,태양광,16.14445,4.3,,3.3,50,0.4,1.27,,8,23.3,13.3
2020-01-01,16,광주시,태양광,11.918327,4.7,,1.9,49,1,1.28,,6,20.9,12.3
2020-01-01,17,광주시,태양광,4.808239,3.8,,1.4,51,1,0.5,,4,21,13.4
2020-01-01,18,광주시,태양광,1.711531,2.8,,0.6,55,0.1,0.09,,0,21.4,11.9
2020-01-01,19,광주시,태양광,1.71862,2,,1.5,59,,,,0,24.9,15.2
2020-01-02,7,광주시,태양광,0,-2.4,,0.1,89,,,,4,30.4,23.4
2020-01-02,8,광주시,태양광,0.030422,-2,,0.9,87,0,0.07,,0,32.8,24.4
2020-01-02,9,광주시,태양광,3.111954,-0.6,,0.2,82,0.7,0.36,,0,36.2,26.7
2020-01-02,10,광주시,태양광,11.612901,0.7,,0.3,76,1,0.87,,0,43.6,28.7
2020-01-02,11,광주시,태양광,19.511522,3.4,,0.7,64,1,1.4,,3,47.1,34.9
2020-01-02,12,광주시,태양광,23.693528,5.4,,0.9,55,1,1.73,,2,54.2,37.1
2020-01-02,13,광주시,태양광,27.608212,6.7,,1.1,50,1,1.88,,0,48,31.1
